"Reference","Value","Footprint","Qty","Mouser Part Number"
"C1","4.7μF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1","581-KAM32LR72A475KU"
"C2","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1","81-GRM188R72A104KA35"
"C3,C6","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2","81-GRM155R71C104KA88"
"C4,C5","10μF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","2","810-C3225X7R1H106MAC"
"D1,D2,D3,D4,D5","1N4148W","Diode_SMD:D_SOD-123","5","637-1N4148W"
"J1","Power","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","179-TB0012-508-02GR"
"J3","RGBW Control","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","1","179-TB0012-508-04GR"
"L1","47μH","footprints:IFDC5050JZER470M","1","70-IFDC5050JZER470M"
"R1","100kΩ","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1","71-CRCW0402-100K-E3"
"R2","19.1kΩ","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1","71-CRCW0402-19.1K-E3"
"R3","100kΩ","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","1","71-CRMA1210AF100KFKF"
"R4,R5","4.7kΩ","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","2","71-CRCW12104K70JNAIF"
"SW1,SW2,SW3,SW4,SW5","Button","footprints:TS046695BK100SMT","5","179-TS046695BK100SMT "
"U1","LMR51430","Package_TO_SOT_SMD:SOT-23-6","1","595-LMR51606XFQDBRQ1"
"U2","XIAO-RP2040-SMD","footprints:XIAO-RP2040-SMD","1","713-102010428"
"U3","MCP4728","Package_SO:MSOP-10_3x3mm_P0.5mm","1","579-MCP4728-E/UN"
